,id,retweet_count,favorite_count
278,838916489579200512,37,0
279,838831947270979586,12144,0
280,838561493054533637,1454,11612
281,838476387338051585,5279,24091
282,838201503651401729,11096,0
283,838150277551247360,358,1788
284,838085839343206401,0,148
285,838083903487373313,3452,18784
286,837820167694528512,8643,36458
287,837482249356513284,485,4094
288,837471256429613056,2536,13653
289,837366284874571778,5806,22544
290,837110210464448512,2629,17085
291,836989968035819520,2516,13581
292,836753516572119041,5064,20518
293,836677758902222849,2438,13456
294,836648853927522308,607,0
295,836397794269200385,30327,0
296,836380477523124226,3231,15708
297,836260088725786625,4701,22681
298,836001077879255040,4724,20397
299,835685285446955009,9001,0
300,835574547218894849,3985,19002
301,835536468978302976,1869,0
302,835309094223372289,23143,0
303,835297930240217089,3286,17500
304,835264098648616962,1869,8293
305,835246439529840640,80,2229
306,835172783151792128,6320,27908
307,835152434251116546,3331,24008
308,834931633769889797,1814,11585
309,834786237630337024,6006,22561
310,834574053763584002,2796,14651
311,834477809192075265,11744,0
312,834458053273591808,1843,10275
313,834209720923721728,5285,22034
314,834167344700198914,3997,16837
315,834089966724603904,2348,10745
316,834086379323871233,2435,13952
317,833863086058651648,2655,14345
318,833826103416520705,3787,16403
319,833732339549220864,240,0
320,833722901757046785,3528,22098
321,833479644947025920,2276,15917
322,833124694597443584,5344,21616
323,832998151111966721,2445,14249
324,832769181346996225,42,0
325,832757312314028032,3993,17997
326,832682457690300417,3241,12718
327,832645525019123713,573,3126
328,832636094638288896,3083,16990
329,832397543355072512,2463,12799
330,832369877331693569,3517,18376
331,832273440279240704,2578,12106
332,832215909146226688,6830,0
333,832215726631055365,10348,0
334,832088576586297345,2,72
335,832040443403784192,10744,0
336,832032802820481025,5156,19144
337,831939777352105988,6791,25724
338,831926988323639298,36,365
339,831911600680497154,7211,29656
340,831670449226514432,2002,11193
341,831650051525054464,2162,7701
342,831552930092285952,2541,9667
343,831322785565769729,1684,9839
344,831315979191906304,1231,6977
345,831309418084069378,2692,12553
346,831262627380748289,2268,12783
347,830956169170665475,1664,8551
348,830583320585068544,18651,71789
349,830173239259324417,6316,0
350,830097400375152640,3340,10542
351,829878982036299777,5558,0
352,829861396166877184,2175,13147
353,829501995190984704,11744,34079
354,829449946868879360,2251,11239
355,829374341691346946,10330,37212
356,829141528400556032,8216,26346
357,829011960981237760,17993,56907
358,828801551087042563,3770,0
359,828770345708580865,6512,27462
360,828708714936930305,12433,39318
361,828650029636317184,1490,10215
362,828409743546925057,1272,6749
363,828408677031882754,1418,8206
364,828381636999917570,2461,13563
365,828376505180889089,1180,7938
366,828372645993398273,3247,13458
367,828361771580813312,189,2355
368,828046555563323392,3172,12649
369,828011680017821696,2374,11137
370,827933404142436356,5792,21672
371,827653905312006145,3329,16617
372,827600520311402496,1050,7977
373,827324948884643840,3400,17105
374,827199976799354881,2488,11382
375,826958653328592898,5558,23248
376,826848821049180160,11403,39315
377,826615380357632002,4370,0
378,826598799820865537,282,5513
379,826598365270007810,2604,10840
380,826476773533745153,4664,19828
381,826240494070030336,2876,14279
382,826204788643753985,1044,5248
383,826115272272650244,3477,16888
384,825876512159186944,2077,11275
385,825829644528148480,2764,13715
386,825535076884762624,19128,56065
387,825147591692263424,5092,19729
388,825120256414846976,1432,0
389,825026590719483904,1432,6858
390,824796380199809024,6099,0
391,824775126675836928,3928,16153
392,824663926340194305,1933,10850
393,824325613288833024,11561,12694
394,824297048279236611,4295,16214
395,824025158776213504,658,5151
396,823939628516474880,3015,11491
397,823719002937630720,12535,0
398,823699002998870016,2690,13565
399,823581115634085888,2950,14062
400,823333489516937216,29,753
401,823322678127919110,4488,16993
402,823269594223824897,10986,0
403,822975315408461824,3829,18690
404,822872901745569793,48968,143023
405,822859134160621569,2545,14262
406,822647212903690241,7140,0
407,822610361945911296,3299,15950
408,822489057087389700,7140,19604
409,822462944365645825,16460,30893
410,822244816520155136,10986,37888
411,822163064745328640,5375,0
412,821886076407029760,2613,12289
413,821813639212650496,3729,0
414,821765923262631936,1853,9116
415,821522889702862852,1966,8666
416,821421320206483457,6239,0
417,821407182352777218,4866,12747
418,821153421864615936,10,276
419,821149554670182400,2248,9449
420,821107785811234820,2377,10394
421,821044531881721856,2553,13669
422,820837357901512704,7475,0
423,820749716845686786,11096,34176
424,820690176645140481,3598,13207
425,820494788566847489,633,0
426,820446719150292993,2880,0
427,820314633777061888,633,3607
428,820078625395449857,7014,21420
429,820013781606658049,1322,0
430,819952236453363712,1322,5763
431,819924195358416896,5410,13933
432,819711362133872643,3502,14563
433,819588359383371776,2196,10356
434,819347104292290561,1341,7817
435,819238181065359361,452,2482
436,819227688460238848,7475,25030
437,819015337530290176,40924,0
438,819015331746349057,21111,0
439,819006400881917954,21111,48840
440,819004803107983360,40924,93495
441,818646164899774465,23306,0
442,818627210458333184,8326,24051
443,818614493328580609,2887,10686
444,818588835076603904,6886,0
445,818536468981415936,2773,11840
446,818307523543449600,9083,0
447,818259473185828864,2546,11941
448,818145370475810820,2902,13320
449,817908911860748288,882,5238
450,817827839487737858,30327,56247
451,817777686764523521,2978,11588
452,817536400337801217,3396,12799
453,817502432452313088,3801,0
454,817423860136083457,16805,37179
455,817415592588222464,1079,6099
456,817181837579653120,9537,0
457,817171292965273600,2250,9461
458,817120970343411712,2927,13171
459,817056546584727552,1849,9282
